Product_ID,Name,Type,Category,Price_Euros,Description,Tags/Keywords,Reviews,Rating
1001,Modern Wooden Dining Table - Proffico,Table,Dining Room,212,"Elevate your dining room with this exquisite table. Built for elegance and practicality, it blends seamlessly into contemporary interiors.","['wooden table', 'modern furniture', 'dining']","['A bit small for my needs, but looks good.', 'Assembly took longer than expected.', 'Customer service was very helpful.', 'Amazing quality, highly recommend!', 'Customer service was very helpful.']",4.6
1002,Luxury Velvet Sofa - Valsana,Sofa,Living Room,1851,"Experience the perfect blend of comfort and functionality with this sofa. Ideal for your living room, it offers a stylish touch and long-lasting quality.","['velvet sofa', 'luxury furniture', 'living room']","['Slightly overpriced, but good quality.', 'Expected better quality for the price.', 'Super sturdy, will last for years!', 'The color looks different from the picture.', 'The color looks different from the picture.']",3.5
1003,Minimalist Coffee Table - Eleganza,Table,Bedroom,513,"Elevate your bedroom with this exquisite table. Built for elegance and practicality, it blends seamlessly into contemporary interiors.","['coffee table', 'oak wood', 'modern decor']","['Customer service was very helpful.', 'Not as soft as I hoped.', 'Came with minor scratches, but overall nice.', 'Customer service was very helpful.', 'Fast delivery and easy setup!']",5
1004,Ergonomic Office Chair - Homestead,Chair,Office Furniture,82,"Experience the perfect blend of comfort and functionality with this chair. Ideal for your office furniture, it offers a stylish touch and long-lasting quality.","['office chair', 'ergonomic', 'adjustable height']","['Very modern and elegant, love it!', 'Super sturdy, will last for years!', 'Very comfortable and stylish!', 'Expected better quality for the price.', 'Customer service was very helpful.']",4
1005,Outdoor Lounge Set - Luxora,Miscellaneous,Outdoor Furniture,1954,"Elevate your outdoor furniture with this exquisite miscellaneous. Built for elegance and practicality, it blends seamlessly into contemporary interiors.","['outdoor set', 'garden lounge', 'weather resistant']","['Very modern and elegant, love it!', 'A bit small for my needs, but looks good.', 'Very comfortable and stylish!', 'Perfect fit for my space!', 'Not as soft as I hoped.']",4.2
1006,Scandinavian Wardrobe - Furnitura,Wardrobe,Bathroom Furniture,108,"Designed for modern living, this wardrobe features high-quality materials and expert craftsmanship, making it a great addition to any bathroom furniture.","['wardrobe', 'scandinavian design', 'storage']","['Super sturdy, will last for years!', 'Perfect fit for my space!', 'The color looks different from the picture.', 'Very comfortable and stylish!', 'A bit small for my needs, but looks good.']",4.5
1007,Industrial Bookshelf - CasaNova,Bookshelf,Kids Furniture,365,"Elevate your kids furniture with this exquisite bookshelf. Built for elegance and practicality, it blends seamlessly into contemporary interiors.","['bookshelf', 'industrial style', 'metal frame']","['Customer service was very helpful.', 'Slightly overpriced, but good quality.', 'Very comfortable and stylish!', 'A bit small for my needs, but looks good.', 'Came with minor scratches, but overall nice.']",4.1
1008,Classic Wooden Bed Frame - Artisano,Bed,Hallway Furniture,1867,"Enhance your hallway furniture with this sophisticated bed, offering both aesthetic appeal and practical usability for everyday convenience.","['bed frame', 'wooden', 'classic design']","['Very modern and elegant, love it!', 'Fast delivery and easy setup!', 'Fast delivery and easy setup!', 'Expected better quality for the price.', 'A bit small for my needs, but looks good.']",4.3
1009,Compact Shoe Cabinet - Moderno,Cabinet,Storage Solutions,550,"Experience the perfect blend of comfort and functionality with this cabinet. Ideal for your storage solutions, it offers a stylish touch and long-lasting quality.","['shoe cabinet', 'compact storage', 'modern look']","['Slightly overpriced, but good quality.', 'Fast delivery and easy setup!', 'Expected better quality for the price.', 'Not as soft as I hoped.', 'Not as soft as I hoped.']",4.8
1010,Floating Wall Shelves - Decora,Miscellaneous,Home Decor,1319,"Designed for modern living, this miscellaneous features high-quality materials and expert craftsmanship, making it a great addition to any home decor.","['wall shelves', 'floating design', 'minimalist']","['Very comfortable and stylish!', 'Slightly overpriced, but good quality.', 'The material feels premium and durable.', 'Not as soft as I hoped.', 'Customer service was very helpful.']",3.9
1011,Modern Wooden Dining Table - Comforta,Table,Dining Room,1570,"Experience the perfect blend of comfort and functionality with this table. Ideal for your dining room, it offers a stylish touch and long-lasting quality.","['wooden table', 'modern furniture', 'dining']","['The color looks different from the picture.', 'Expected better quality for the price.', 'Came with minor scratches, but overall nice.', 'Amazing quality, highly recommend!', 'Fast delivery and easy setup!']",4.3
